25.9685 	WARNING 	User requested fullscreen with size [1707 1067], but screen is actually [3840, 2160]. Using actual size
26.4730 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000244A7AA46D0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000244A7AA4730>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000244A7AA48E0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000244B1FE2260>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([3840, 2160]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
26.4730 	EXP 	window1: mouseVisible = True
26.4730 	EXP 	window1: backgroundImage = ''
26.4730 	EXP 	window1: backgroundFit = 'none'
26.4739 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
26.4739 	EXP 	window1: recordFrameIntervals = False
26.6394 	EXP 	window1: recordFrameIntervals = True
26.8265 	WARNING 	t of last frame was 20.21ms (=1/49)
27.0061 	EXP 	Screen (0) actual frame rate measured at 60.02Hz
27.0062 	EXP 	window1: recordFrameIntervals = False
27.0062 	EXP 	window1: mouseVisible = False
29.1720 	EXP 	ATTEND_learn_videoStimLoop: status = STARTED
29.1724 	EXP 	window1: mouseVisible = True
29.2104 	EXP 	Created textWelcome = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='textWelcome', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
29.2105 	EXP 	window1: mouseVisible = True
29.2178 	EXP 	Created text_3 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_3', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
29.2179 	EXP 	window1: mouseVisible = True
