13.8196 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001A3E7BB4580>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001A3E7BB4520>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001A3E7BB4370>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001A3F231E1A0>, multiSample=False, name='window1', numSamples=2, pos=(1066, 546), screen=0, size=array([1707, 1067]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
13.8196 	EXP 	window1: mouseVisible = True
13.8197 	EXP 	window1: backgroundImage = ''
13.8197 	EXP 	window1: backgroundFit = 'none'
13.8206 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
13.8206 	EXP 	window1: recordFrameIntervals = False
13.9877 	EXP 	window1: recordFrameIntervals = True
14.0443 	WARNING 	t of last frame was 23.90ms (=1/41)
14.1437 	WARNING 	t of last frame was 22.80ms (=1/43)
14.1952 	WARNING 	t of last frame was 37.14ms (=1/26)
14.2267 	WARNING 	t of last frame was 31.46ms (=1/31)
14.2553 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
14.4191 	EXP 	Screen (0) actual frame rate measured at 61.10Hz
14.4191 	EXP 	window1: recordFrameIntervals = False
14.4192 	EXP 	window1: mouseVisible = False
14.4428 	WARNING 	launchHubServer: If using the iohub mouse or eyetracker devices, fullScr should be True.
16.8298 	EXP 	ATTEND_learn_videoStimLoop: status = STARTED
16.8303 	EXP 	window1: mouseVisible = True
16.8834 	EXP 	Created textWelcome = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='textWelcome', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
16.8835 	EXP 	window1: mouseVisible = True
16.8893 	EXP 	Created text_3 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_3', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
16.8894 	EXP 	window1: mouseVisible = True
16.8926 	EXP 	Created text_4 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_4', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Next, press Space to continue', units='height', win=Window(...), wrapWidth=1)
16.8959 	EXP 	window1: mouseVisible = True
17.1751 	EXP 	window1: mouseVisible = True
17.1752 	EXP 	window1: mouseVisible = True
17.1765 	EXP 	Created playButton = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-4.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='playButton', opacity=1.0, ori=1.0, pos=array([0., 0.]), size=array([1., 1.]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
17.1766 	EXP 	window1: mouseVisible = True
17.1776 	EXP 	Created text_Questions = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.09, italic=False, languageStyle='LTR', name='text_Questions', opacity=1.0, ori=0.0, pos=array([0.  , 0.75]), rgb=UNKNOWN, text='', units='norm', win=Window(...), wrapWidth=1)
17.1777 	EXP 	window1: mouseVisible = True
